adjustment,cell_class,pathology,other_region,locus_id,anchors,S_DFC,S_other,Delta_S_DFC_minus_other
standard,Immune,Braak,MEC,AD|MS4A6A,1,0.2302593336960318,-0.6444121608050398,0.8746714945010716
standard,Immune,Braak,MEC,AD|NCK2,1,-0.2337733697346346,-0.7966242526336447,0.5628508828990101
standard,Immune,Braak,MEC,AD|PICALM,1,0.1128751779939723,0.4285544807480389,-0.31567930275406664
standard,Immune,Braak,MEC,AD|PLEKHA1,1,-0.2223615559056515,0.8247362782819172,-1.0470978341875687
standard,Immune,Braak,MEC,AD|RASGEF1C,1,0.9412259553412496,0.8850860945753436,0.05613986076590605
standard,Immune,Braak,MEC,AD|RHOH,1,0.3313250416772209,0.7799817526277472,-0.4486567109505263
standard,Immune,Braak,MEC,AD|SCIMP,1,0.4139784063769929,0.9440219325112712,-0.5300435261342783
standard,Immune,Braak,MEC,AD|SIGLEC11,1,0.4825608938698298,-0.7728698620002624,1.2554307558700923
standard,Immune,Braak,MEC,AD|WDR81,1,-0.7947000614686799,-0.9962579781797845,0.20155791671110457
standard,Immune,Braak,MTG,AD|ABI3,1,0.5553776805454401,0.2687096212975773,0.2866680592478628
standard,Immune,Braak,MTG,AD|ADAM17,1,0.5438900476841706,-0.2145813826300331,0.7584714303142037
standard,Immune,Braak,MTG,AD|ANK3,1,-0.5133651325190741,-0.062593263440074,-0.45077186907900013
standard,Immune,Braak,MTG,AD|BIN1,2,-0.9524114948556754,-0.992560001695483,0.04014850683980753
standard,Immune,Braak,MTG,AD|BLNK,1,-0.6507753098299942,-0.6555400980187368,0.004764788188742597
standard,Immune,Braak,MTG,AD|CASS4,1,-0.6216669263820672,-0.6911624629055254,0.06949553652345819
standard,Immune,Braak,MTG,AD|CD2AP,1,0.8120713558055457,-0.5146039653196081,1.3266753211251539
standard,Immune,Braak,MTG,AD|DOC2A,1,0.9501137398534528,0.9989258914300642,-0.04881215157661134
standard,Immune,Braak,MTG,AD|ECHDC3,1,0.3555877170106084,0.6695444149137723,-0.3139566979031639
standard,Immune,Braak,MTG,AD|EPDR1,1,0.4923069394956672,-0.837171897894096,1.3294788373897632
standard,Immune,Braak,MTG,AD|EPHA1,4,-0.7915424843251795,-0.34484969303224966,-0.4466927912929298
standard,Immune,Braak,MTG,AD|FERMT2,1,0.8011180902597468,0.787062270319721,0.014055819940025804
standard,Immune,Braak,MTG,AD|MS4A6A,1,0.2302593336960318,0.5093112213761999,-0.2790518876801681
standard,Immune,Braak,MTG,AD|NCK2,1,-0.2337733697346346,-0.7863677488048033,0.5525943790701687
standard,Immune,Braak,MTG,AD|PICALM,1,0.1128751779939723,0.2274675099609208,-0.1145923319669485
standard,Immune,Braak,MTG,AD|PLEKHA1,1,-0.2223615559056515,0.857078397078041,-1.0794399529836924
standard,Immune,Braak,MTG,AD|RASGEF1C,1,0.9412259553412496,0.9752272032486214,-0.0340012479073718
standard,Immune,Braak,MTG,AD|RHOH,1,0.3313250416772209,0.991085828056975,-0.6597607863797541
standard,Immune,Braak,MTG,AD|SCIMP,1,0.4139784063769929,0.8870552355184581,-0.4730768291414652
standard,Immune,Braak,MTG,AD|SIGLEC11,1,0.4825608938698298,-0.7023092267377415,1.1848701206075714
standard,Immune,Braak,MTG,AD|WDR81,1,-0.7947000614686799,-0.9661975944460088,0.17149753297732895
standard,Oligo,CERAD,MEC,AD|ABCA7,1,0.9387490656481888,0.9030433230301246,0.03570574261806425
standard,Oligo,CERAD,MEC,AD|APH1B,1,-0.6979825729681111,-0.9104480161499052,0.21246544318179417
